N	NONE	f_sync	MZI_D_us	MZI_W_us	DET_D_us	DET_W_us	State	D0	D1
0	56533	0.000120000012000001	0	15	0	2000000	0	990	0
1	56533	0.000120000012000001	0	15	0	2000000	0	990	0
2	56533	0.000120000012000001	0	15	0	2000000	0	990	0
3	56533	0.000120000012000001	0	15	0	2000000	0	990	0
4	56533	0.000120000012000001	0	15	0	2000000	0	990	0
0	56533	0.000120000012000001	0	15	0	2000000	0	990	0
1	56533	0.000120000012000001	0	15	0	2000000	0	990	0
2	56533	0.000120000012000001	0	15	0	2000000	0	990	0
3	56533	0.000120000012000001	0	15	0	2000000	0	990	0
4	56533	0.000120000012000001	0	15	0	2000000	0	990	0
0	56533	0.000120000012000001	0	15	0	2000000	0	990	0
1	56533	0.000120000012000001	0	15	0	2000000	0	990	0
2	56533	0.000120000012000001	0	15	0	2000000	0	990	0
3	56533	0.000120000012000001	0	15	0	2000000	0	990	0
4	56533	0.000120000012000001	0	15	0	2000000	0	990	0
0	56533	0.000120000012000001	0	15	0	2000000	0	990	0
1	56533	0.000120000012000001	0	15	0	2000000	0	990	0
2	56533	0.000120000012000001	0	15	0	2000000	0	990	0
3	56533	0.000120000012000001	0	15	0	2000000	0	990	0
4	56533	0.000120000012000001	0	15	0	2000000	0	990	0
0	56533	0.000120000012000001	0	15	0	2000000	0	990	0
1	56533	0.000120000012000001	0	15	0	2000000	0	990	0
2	56533	0.000120000012000001	0	15	0	2000000	0	990	0
3	56533	0.000120000012000001	0	15	0	2000000	0	990	0
4	56533	0.000120000012000001	0	15	0	2000000	0	990	0
0	56533	0.000120000012000001	0	15	0	2000000	0	990	0
1	56533	0.000120000012000001	0	15	0	2000000	0	990	0
2	56533	0.000120000012000001	0	15	0	2000000	0	990	0
3	56533	0.000120000012000001	0	15	0	2000000	0	990	0
4	56533	0.000120000012000001	0	15	0	2000000	0	990	0
0	56533	0.000120000012000001	0	15	0	2000000	0	990	0
1	56533	0.000120000012000001	0	15	0	2000000	0	990	0
2	56533	0.000120000012000001	0	15	0	2000000	0	990	0
3	56533	0.000120000012000001	0	15	0	2000000	0	990	0
4	56533	0.000120000012000001	0	15	0	2000000	0	990	0
0	56533	0.000120000012000001	0	15	0	2000000	0	990	0
1	56533	0.000120000012000001	0	15	0	2000000	0	990	0
2	56533	0.000120000012000001	0	15	0	2000000	0	990	0
3	56533	0.000120000012000001	0	15	0	2000000	0	990	0
4	56533	0.000120000012000001	0	15	0	2000000	0	990	0
